round,steps,score,reward,epsilon
8340,47,1,23.8,0.4343
8341,55,7,82.0,0.4342
8342,14,0,-34.4,0.4342
8343,86,2,64.4,0.4342
8344,20,0,-31.0,0.4341
8345,295,2,-8.5,0.4341
8346,84,1,41.1,0.434
8347,30,0,-28.5,0.434
8348,34,2,32.6,0.4339
8349,20,0,-29.0,0.4339
8350,23,0,-21.3,0.4339
8351,19,0,-22.9,0.4338
8352,34,0,-48.4,0.4338
8353,13,0,-42.8,0.4337
8354,21,0,-18.6,0.4337
8355,28,0,-25.8,0.4336
8356,13,0,-32.8,0.4336
8357,16,0,-37.6,0.4336
8358,6,0,-41.6,0.4335
8359,12,0,-30.7,0.4335
8360,29,0,-25.9,0.4334
8361,79,1,-6.4,0.4334
8362,46,0,20.9,0.4333
8363,98,0,54.7,0.4333
8364,21,0,-36.1,0.4332
8365,79,1,54.1,0.4332
8366,23,0,-26.3,0.4332
8367,30,0,-26.5,0.4331
8368,16,0,-42.6,0.4331
8369,40,1,-12.0,0.433
8370,42,1,-7.2,0.433
8371,68,1,11.7,0.4329
8372,29,0,-49.4,0.4329
8373,73,2,34.2,0.4329
8374,20,0,-25.0,0.4328
8375,53,1,20.2,0.4328
8376,10,0,-50.0,0.4327
8377,7,0,-47.2,0.4327
8378,57,0,0.3,0.4326
8379,15,0,-43.0,0.4326
8380,20,0,-31.0,0.4326
8381,5,0,-46.0,0.4325
8382,9,0,-45.9,0.4325
8383,31,1,8.4,0.4324
8384,100,2,75.0,0.4324
8385,15,1,-20.0,0.4323
8386,51,2,20.9,0.4323
8387,29,0,-16.9,0.4323
8388,14,0,-38.9,0.4322
8389,31,0,-3.6,0.4322
8390,22,0,-10.7,0.4321
8391,7,0,-42.7,0.4321
8392,35,0,-38.0,0.432
8393,84,5,14.6,0.432
8394,7,0,-41.7,0.432
8395,51,0,23.4,0.4319
8396,21,0,-24.6,0.4319
8397,22,0,-27.2,0.4318
8398,22,0,-19.7,0.4318
8399,13,0,-34.3,0.4317
8400,6,0,-44.6,0.4317
8401,36,0,-16.6,0.4316
8402,16,0,-35.6,0.4316
8403,23,0,-27.3,0.4316
8404,22,0,-21.7,0.4315
8405,15,0,-26.5,0.4315
8406,20,0,-39.0,0.4314
8407,146,3,65.9,0.4314
8408,91,0,-42.6,0.4313
8409,14,0,-50.4,0.4313
8410,29,0,-18.4,0.4313
8411,14,0,-40.4,0.4312
8412,58,0,20.7,0.4312
8413,29,0,-21.9,0.4311
8414,20,0,-19.5,0.4311
8415,53,0,5.7,0.431
8416,30,0,-26.5,0.431
8417,30,0,-22.0,0.431
8418,66,3,84.9,0.4309
8419,27,0,-21.2,0.4309
8420,28,0,-13.3,0.4308
8421,29,0,-26.9,0.4308
8422,6,0,-44.6,0.4307
8423,86,1,25.4,0.4307
8424,26,0,-44.6,0.4307
8425,160,2,69.0,0.4306
8426,32,0,-37.7,0.4306
8427,74,2,38.6,0.4305
8428,67,0,16.3,0.4305
8429,22,0,-42.2,0.4304
8430,58,2,33.2,0.4304
8431,40,0,-13.5,0.4304
8432,11,0,-43.1,0.4303
8433,126,4,114.9,0.4303
8434,15,0,-45.0,0.4302
8435,13,0,-38.8,0.4302
8436,13,1,-21.8,0.4301
8437,13,0,-37.3,0.4301
8438,17,0,-37.2,0.4301
8439,74,1,17.6,0.43
8440,7,0,-42.7,0.43
8441,31,0,-55.6,0.4299
8442,29,0,-23.9,0.4299
8443,27,0,-30.7,0.4298
8444,65,1,37.5,0.4298
8445,22,0,-38.7,0.4298
8446,13,0,-37.8,0.4297
8447,19,0,-19.4,0.4297
8448,30,0,-18.5,0.4296
8449,127,7,94.8,0.4296
8450,12,0,-53.7,0.4295
8451,7,0,-42.2,0.4295
8452,14,0,-38.9,0.4295
8453,11,0,-48.6,0.4294
8454,19,0,-41.4,0.4294
8455,16,0,-20.6,0.4293
8456,21,0,-23.1,0.4293
8457,16,0,-38.1,0.4292
8458,125,3,163.0,0.4292
8459,13,0,-37.3,0.4292
8460,16,0,-37.6,0.4291
8461,48,0,-0.8,0.4291
8462,65,1,1.0,0.429
8463,17,0,-20.2,0.429
8464,6,0,-40.6,0.4289
8465,46,0,-20.6,0.4289
8466,5,0,-47.5,0.4289
8467,36,1,5.9,0.4288
8468,13,0,-35.3,0.4288
8469,48,1,37.7,0.4287
8470,13,0,-35.8,0.4287
8471,24,0,-39.4,0.4286
8472,14,1,-19.9,0.4286
8473,22,0,-34.2,0.4286
8474,18,0,-42.8,0.4285
8475,42,1,3.3,0.4285
8476,77,0,20.8,0.4284
8477,43,1,-7.3,0.4284
8478,46,1,-12.6,0.4283
8479,75,1,16.0,0.4283
8480,16,0,-37.6,0.4283
8481,32,0,-14.2,0.4282
8482,175,1,15.0,0.4282
8483,17,0,-40.7,0.4281
8484,167,4,62.3,0.4281
8485,34,1,-18.4,0.428
8486,16,0,-40.6,0.428
8487,51,1,26.4,0.428
8488,92,0,-6.2,0.4279
8489,5,0,-43.5,0.4279
8490,20,0,-20.0,0.4278
8491,13,0,-30.8,0.4278
