round,steps,score,reward,epsilon
15482,41,2,43.9,0.05
15483,13,0,-28.8,0.05
15484,400,43,1061.9,0.05
15485,166,11,264.9,0.05
15486,400,45,1153.9,0.05
15487,225,27,603.5,0.05
15488,261,28,650.9,0.05
15489,21,1,-6.6,0.05
15490,20,1,-2.0,0.05
15491,400,47,1161.9,0.05
15492,337,38,985.8,0.05
15493,400,44,1117.9,0.05
15494,64,0,-72.4,0.05
15495,13,0,-31.8,0.05
15496,257,22,444.8,0.05
15497,400,39,921.9,0.05
15498,400,48,1113.9,0.05
15499,237,32,702.3,0.05
15500,41,1,-6.6,0.05
15501,157,17,415.8,0.05
15502,159,18,407.6,0.05
15503,400,35,876.4,0.05
15504,400,38,964.4,0.05
15505,34,3,47.6,0.05
15506,101,8,224.9,0.05
15507,400,46,1055.4,0.05
15508,400,40,992.4,0.05
15509,180,26,543.0,0.05
15510,27,2,12.3,0.05
15511,112,14,321.8,0.05
15512,149,13,347.1,0.05
15513,206,27,626.4,0.05
15514,400,40,1033.9,0.05
15515,20,1,-6.0,0.05
15516,184,21,474.1,0.05
15517,400,43,1122.4,0.05
15518,400,43,979.4,0.05
15519,22,0,-18.2,0.05
15520,75,6,126.5,0.05
15521,84,7,180.6,0.05
15522,51,5,83.4,0.05
15523,101,10,252.4,0.05
15524,357,36,857.3,0.05
15525,27,1,-0.2,0.05
15526,159,13,244.1,0.05
15527,302,33,756.8,0.05
15528,29,3,25.6,0.05
15529,13,0,-36.8,0.05
15530,75,5,104.5,0.05
15531,49,1,2.6,0.05
15532,50,3,47.0,0.05
15533,13,1,-18.3,0.05
15534,400,47,1145.9,0.05
15535,176,24,549.9,0.05
15536,400,47,1150.4,0.05
15537,373,30,679.2,0.05
15538,142,9,224.8,0.05
15539,245,31,751.0,0.05
15540,400,45,1107.9,0.05
15541,400,43,1025.4,0.05
15542,400,41,1064.4,0.05
15543,308,40,922.7,0.05
15544,400,49,1161.4,0.05
15545,76,8,124.9,0.05
15546,207,20,448.8,0.05
15547,182,16,417.8,0.05
15548,400,47,1118.4,0.05
15549,15,1,-12.0,0.05
15550,400,45,1109.4,0.05
15551,134,14,279.1,0.05
15552,400,46,1098.4,0.05
15553,13,0,-26.8,0.05
15554,64,7,136.6,0.05
15555,400,42,968.4,0.05
15556,400,42,1068.9,0.05
15557,400,44,1105.4,0.05
15558,400,46,1188.4,0.05
15559,5,0,-49.5,0.05
15560,36,2,20.4,0.05
15561,400,42,1002.9,0.05
15562,35,3,69.0,0.05
15563,13,0,-36.8,0.05
15564,80,6,152.0,0.05
15565,288,32,711.7,0.05
15566,400,42,1071.4,0.05
15567,298,31,637.7,0.05
15568,38,2,51.7,0.05
15569,400,42,1113.4,0.05
15570,132,13,328.3,0.05
15571,400,40,1047.4,0.05
15572,175,24,494.5,0.05
15573,166,18,458.4,0.05
15574,400,42,1030.9,0.05
15575,158,16,390.7,0.05
15576,20,1,-9.0,0.05
15577,13,0,-34.8,0.05
15578,400,40,988.4,0.05
15579,202,24,580.3,0.05
15580,400,45,1124.4,0.05
15581,400,46,1139.9,0.05
15582,400,46,1067.9,0.05
15583,37,3,32.3,0.05
15584,289,36,833.1,0.05
15585,400,46,1179.4,0.05
15586,117,15,329.8,0.05
15587,20,1,-13.0,0.05
15588,36,2,21.4,0.05
15589,6,0,-39.6,0.05
15590,27,3,22.3,0.05
15591,13,1,-23.8,0.05
15592,115,17,354.0,0.05
15593,28,2,19.7,0.05
15594,400,43,1094.4,0.05
15595,133,8,210.2,0.05
15596,13,0,-33.8,0.05
15597,400,48,1183.9,0.05
15598,71,6,111.4,0.05
15599,90,2,92.0,0.05
15600,178,10,262.2,0.05
15601,97,8,159.3,0.05
15602,99,8,206.1,0.05
15603,400,45,1125.9,0.05
15604,122,15,301.3,0.05
15605,31,0,-24.6,0.05
15606,20,1,-7.5,0.05
15607,131,7,142.9,0.05
15608,400,35,884.4,0.05
15609,105,12,265.5,0.05
15610,400,22,594.9,0.05
15611,400,44,1117.4,0.05
15612,400,45,1136.4,0.05
15613,6,0,-37.6,0.05
15614,200,20,466.0,0.05
15615,51,4,88.9,0.05
15616,400,45,1128.4,0.05
15617,20,1,-3.0,0.05
15618,20,0,-31.5,0.05
15619,112,10,259.8,0.05
15620,103,13,292.2,0.05
15621,130,17,327.5,0.05
15622,90,12,264.5,0.05
15623,400,46,1101.9,0.05
15624,400,39,995.4,0.05
15625,20,2,3.0,0.05
15626,400,45,1071.4,0.05
15627,13,1,-17.8,0.05
15628,400,46,1200.4,0.05
15629,44,4,33.1,0.05
15630,378,40,948.7,0.05
15631,247,26,660.8,0.05
15632,90,9,197.5,0.05
15633,34,3,38.6,0.05
15634,20,2,-0.0,0.05
15635,91,7,205.9,0.05
15636,108,8,186.2,0.05
15637,100,12,273.0,0.05
15638,375,28,698.5,0.05
15639,400,40,1029.4,0.05
15640,400,17,422.4,0.05
15641,68,2,46.7,0.05
15642,20,0,-14.5,0.05
15643,289,23,577.6,0.05
15644,319,34,885.1,0.05
15645,400,45,1162.9,0.05
15646,24,2,13.1,0.05
15647,400,40,1056.4,0.05
15648,400,41,1065.9,0.05
15649,40,6,102.5,0.05
15650,13,0,-33.8,0.05
15651,400,50,1232.9,0.05
15652,400,37,966.4,0.05
15653,30,3,31.5,0.05
15654,48,3,60.7,0.05
15655,400,39,945.4,0.05
15656,400,45,1094.4,0.05
15657,241,29,685.9,0.05
15658,348,41,1010.7,0.05
15659,20,1,-3.0,0.05
15660,248,30,709.2,0.05
15661,199,17,410.1,0.05
15662,400,39,999.9,0.05
15663,274,34,798.1,0.05
15664,82,12,233.3,0.05
15665,157,23,512.3,0.05
15666,400,35,898.9,0.05
15667,57,6,135.8,0.05
15668,240,26,614.5,0.05
15669,400,41,1023.9,0.05
15670,144,14,342.1,0.05
15671,30,2,40.5,0.05
15672,400,41,1002.4,0.05
15673,13,1,-15.8,0.05
15674,19,1,-5.9,0.05
15675,325,32,774.5,0.05
15676,400,42,1119.4,0.05
15677,131,17,383.9,0.05
15678,400,39,945.4,0.05
15679,165,21,503.0,0.05
15680,400,43,1090.4,0.05
15681,326,37,877.4,0.05
15682,205,24,578.5,0.05
15683,49,3,38.6,0.05
15684,400,43,995.9,0.05
15685,168,18,344.2,0.05
15686,400,41,972.9,0.05
15687,248,29,710.7,0.05
15688,400,47,1138.9,0.05
15689,48,3,53.7,0.05
15690,13,1,-18.8,0.05
15691,400,47,1158.9,0.05
15692,400,38,850.9,0.05
15693,400,36,844.9,0.05
15694,21,1,-2.6,0.05
15695,56,7,156.4,0.05
15696,259,24,592.1,0.05
15697,400,38,983.9,0.05
15698,35,3,35.0,0.05
15699,161,23,554.9,0.05
15700,286,34,856.9,0.05
15701,400,45,1084.4,0.05
15702,400,46,1143.9,0.05
15703,267,25,583.8,0.05
15704,400,42,986.4,0.05
15705,209,23,607.1,0.05
15706,400,45,1093.4,0.05
15707,22,2,4.8,0.05
15708,400,43,1078.9,0.05
15709,292,26,620.3,0.05
15710,20,1,5.0,0.05
15711,350,45,1045.0,0.05
15712,36,5,74.9,0.05
15713,400,24,558.9,0.05
15714,345,40,816.5,0.05
15715,73,5,96.7,0.05
15716,35,3,22.0,0.05
15717,362,42,1024.8,0.05
15718,20,1,4.5,0.05
15719,22,0,-19.2,0.05
15720,400,44,1027.4,0.05
15721,211,23,588.9,0.05
15722,400,41,1019.4,0.05
15723,217,25,593.8,0.05
15724,200,20,421.5,0.05
15725,400,45,1116.4,0.05
15726,237,29,685.8,0.05
15727,123,7,133.7,0.05
15728,400,47,1161.4,0.05
15729,48,6,97.2,0.05
15730,37,1,6.3,0.05
15731,348,39,1010.2,0.05
15732,400,46,1173.4,0.05
15733,400,48,1198.4,0.05
15734,20,2,15.5,0.05
15735,21,1,-25.1,0.05
15736,395,45,1027.5,0.05
15737,400,44,1100.4,0.05
15738,27,3,48.3,0.05
15739,20,0,-17.5,0.05
15740,174,23,544.1,0.05
15741,400,44,1080.4,0.05
15742,400,47,1123.9,0.05
15743,175,16,302.5,0.05
15744,400,40,988.9,0.05
15745,400,34,921.4,0.05
15746,130,15,317.5,0.05
15747,28,2,32.2,0.05
15748,242,25,546.8,0.05
15749,28,2,8.7,0.05
15750,52,7,117.8,0.05
15751,27,1,-0.2,0.05
15752,400,48,1170.4,0.05
15753,400,45,1159.4,0.05
15754,178,20,449.7,0.05
15755,27,4,44.8,0.05
15756,20,1,3.0,0.05
15757,21,3,15.4,0.05
15758,27,2,24.3,0.05
15759,51,2,50.4,0.05
15760,189,21,568.1,0.05
15761,43,5,90.2,0.05
15762,325,33,783.5,0.05
15763,18,1,-3.8,0.05
15764,400,48,1174.9,0.05
15765,5,0,-43.5,0.05
15766,34,2,46.1,0.05
15767,81,7,161.9,0.05
15768,27,2,27.8,0.05
15769,20,1,-22.5,0.05
15770,394,44,1069.6,0.05
15771,92,4,109.3,0.05
15772,400,46,1146.4,0.05
15773,34,3,34.1,0.05
15774,378,45,1028.7,0.05
15775,400,42,1035.4,0.05
15776,235,17,441.5,0.05
15777,193,18,425.2,0.05
15778,400,42,1029.9,0.05
15779,19,2,6.6,0.05
15780,21,1,5.9,0.05
15781,27,3,30.8,0.05
15782,309,26,653.6,0.05
15783,400,45,1133.4,0.05
15784,65,5,93.0,0.05
15785,400,45,1142.9,0.05
15786,400,42,1016.4,0.05
15787,261,20,433.9,0.05
15788,400,44,1106.4,0.05
15789,325,37,886.0,0.05
15790,235,24,551.0,0.05
15791,400,49,1196.4,0.05
15792,400,42,1060.4,0.05
15793,279,34,825.1,0.05
15794,54,2,44.6,0.05
15795,238,23,566.2,0.05
15796,27,3,35.8,0.05
15797,400,43,1085.9,0.05
15798,71,3,32.4,0.05
15799,167,17,418.3,0.05
15800,166,14,348.9,0.05
15801,400,46,1124.4,0.05
15802,400,34,870.4,0.05
15803,400,45,1087.4,0.05
15804,346,32,780.9,0.05
15805,400,44,1157.4,0.05
15806,270,24,616.5,0.05
15807,320,34,798.0,0.05
15808,400,41,1061.9,0.05
15809,400,45,1158.4,0.05
15810,195,22,520.5,0.05
15811,347,40,980.8,0.05
15812,189,18,427.6,0.05
15813,5,0,-49.5,0.05
15814,400,45,1124.4,0.05
15815,115,12,256.5,0.05
15816,81,8,185.9,0.05
15817,20,1,-8.0,0.05
15818,287,31,709.8,0.05
15819,400,46,1101.4,0.05
15820,400,44,1099.9,0.05
15821,87,13,226.8,0.05
15822,400,32,870.4,0.05
15823,49,4,74.6,0.05
15824,147,17,455.3,0.05
15825,334,37,866.1,0.05
15826,41,3,39.4,0.05
15827,400,45,1132.9,0.05
15828,268,29,746.7,0.05
15829,400,48,1150.4,0.05
15830,400,41,1003.9,0.05
15831,53,3,20.2,0.05
15832,197,21,525.8,0.05
15833,42,3,52.8,0.05
15834,309,38,892.1,0.05
15835,106,10,232.9,0.05
15836,147,13,366.8,0.05
15837,400,40,1106.9,0.05
15838,129,11,259.6,0.05
15839,77,7,153.8,0.05
15840,54,5,86.1,0.05
15841,19,0,-18.9,0.05
15842,144,20,455.1,0.05
15843,400,46,1135.4,0.05
15844,400,34,931.9,0.05
15845,51,5,91.9,0.05
15846,13,0,-32.8,0.05
15847,185,19,440.5,0.05
15848,139,16,363.6,0.05
15849,164,14,413.1,0.05
15850,144,17,380.1,0.05
15851,400,35,922.4,0.05
15852,21,1,-2.1,0.05
15853,36,2,25.4,0.05
15854,13,2,-4.3,0.05
15855,84,7,141.1,0.05
15856,400,44,1126.9,0.05
15857,400,40,1006.9,0.05
15858,232,30,658.3,0.05
15859,50,4,87.5,0.05
15860,299,35,845.6,0.05
15861,400,43,1032.4,0.05
15862,119,21,473.1,0.05
15863,377,46,1050.8,0.05
15864,136,2,18.9,0.05
15865,108,11,239.2,0.05
15866,400,48,1194.4,0.05
15867,37,7,89.3,0.05
15868,187,22,533.3,0.05
15869,238,24,563.7,0.05
15870,13,0,-39.3,0.05
15871,167,14,370.3,0.05
15872,400,47,1120.4,0.05
15873,12,0,-34.2,0.05
15874,70,7,124.5,0.05
15875,27,3,17.3,0.05
15876,36,3,36.9,0.05
15877,400,47,1129.4,0.05
15878,400,45,1133.4,0.05
15879,207,27,651.8,0.05
15880,20,1,1.0,0.05
15881,264,30,724.6,0.05
15882,104,15,298.1,0.05
15883,400,38,882.9,0.05
15884,400,41,977.4,0.05
15885,201,25,630.9,0.05
15886,180,16,375.5,0.05
15887,400,44,1176.4,0.05
15888,101,13,317.9,0.05
15889,127,10,225.3,0.05
15890,121,11,279.9,0.05
15891,248,29,724.2,0.05
15892,13,0,-30.8,0.05
15893,400,40,959.4,0.05
15894,400,41,979.9,0.05
15895,20,2,-4.0,0.05
15896,195,25,617.5,0.05
15897,20,1,-8.0,0.05
15898,227,26,622.8,0.05
15899,38,2,11.7,0.05
15900,400,46,1092.9,0.05
15901,400,47,1165.9,0.05
15902,400,45,1230.4,0.05
15903,226,26,555.9,0.05
15904,28,4,48.7,0.05
15905,13,0,-35.8,0.05
15906,96,9,217.4,0.05
15907,400,46,1092.9,0.05
15908,253,24,607.7,0.05
15909,400,47,1171.4,0.05
15910,400,40,1014.9,0.05
15911,167,19,461.8,0.05
15912,400,45,1120.9,0.05
15913,352,40,930.3,0.05
15914,79,6,130.1,0.05
15915,104,10,226.6,0.05
15916,400,44,1050.4,0.05
15917,47,3,27.3,0.05
15918,38,4,65.7,0.05
15919,400,45,1115.4,0.05
15920,37,1,-20.2,0.05
15921,22,1,-3.7,0.05
15922,252,27,617.3,0.05
15923,219,23,555.6,0.05
15924,111,8,238.4,0.05
15925,274,27,713.1,0.05
15926,127,13,317.3,0.05
15927,400,41,1064.4,0.05
15928,43,5,90.7,0.05
15929,72,5,110.8,0.05
15930,400,46,1065.9,0.05
15931,400,44,1071.4,0.05
15932,119,13,321.1,0.05
15933,52,6,120.8,0.05
15934,285,35,880.0,0.05
15935,20,1,-3.0,0.05
15936,259,23,566.6,0.05
15937,130,18,408.5,0.05
15938,400,46,1112.9,0.05
15939,46,3,8.4,0.05
15940,400,44,1133.9,0.05
15941,77,4,93.8,0.05
15942,400,49,1196.4,0.05
15943,34,0,-32.9,0.05
15944,325,29,770.0,0.05
15945,400,46,1067.9,0.05
15946,400,39,960.9,0.05
15947,297,31,769.3,0.05
15948,291,32,790.9,0.05
15949,28,3,21.7,0.05
15950,400,45,1041.5,0.05
15951,400,46,1186.9,0.05
15952,400,41,1016.9,0.05
15953,249,27,666.1,0.05
15954,20,2,9.5,0.05
15955,190,20,516.5,0.05
15956,62,7,130.3,0.05
15957,44,3,62.1,0.05
15958,82,9,188.3,0.05
15959,147,18,430.8,0.05
15960,222,19,478.3,0.05
15961,400,46,1115.9,0.05
15962,229,7,97.6,0.05
15963,98,8,172.2,0.05
15964,178,25,523.7,0.05
15965,42,5,94.8,0.05
15966,400,22,563.9,0.05
15967,356,44,942.4,0.05
15968,34,3,64.1,0.05
15969,92,6,106.3,0.05
15970,400,36,934.9,0.05
15971,239,23,557.6,0.05
15972,20,2,6.5,0.05
15973,400,38,971.4,0.05
15974,73,0,-70.8,0.05
15975,362,39,889.3,0.05
15976,312,39,912.8,0.05
15977,400,41,1083.9,0.05
15978,83,11,238.7,0.05
15979,262,25,637.3,0.05
15980,98,13,259.2,0.05
15981,51,5,85.4,0.05
15982,400,40,990.4,0.05
15983,168,17,376.7,0.05
15984,64,7,153.1,0.05
15985,70,5,116.5,0.05
15986,152,7,188.8,0.05
15987,315,31,776.0,0.05
15988,78,9,203.7,0.05
15989,118,12,238.2,0.05
15990,400,48,1179.9,0.05
15991,207,26,626.8,0.05
15992,251,34,752.4,0.05
15993,62,5,116.8,0.05
15994,400,42,1049.4,0.05
15995,23,3,14.7,0.05
15996,13,0,-31.8,0.05
15997,400,39,960.9,0.05
15998,400,47,1155.4,0.05
15999,400,45,1133.9,0.05
16000,400,40,1050.4,0.05
16001,191,21,471.4,0.05
16002,324,42,992.1,0.05
16003,352,42,973.8,0.05
16004,400,42,1085.4,0.05
16005,400,40,950.4,0.05
16006,29,0,-23.9,0.05
16007,66,8,129.4,0.05
16008,200,26,655.0,0.05
16009,169,19,462.1,0.05
16010,292,28,635.8,0.05
16011,339,39,976.6,0.05
16012,35,3,42.5,0.05
16013,57,5,95.3,0.05
16014,13,0,-35.8,0.05
16015,400,49,1202.9,0.05
16016,400,47,1165.9,0.05
16017,99,9,162.1,0.05
16018,143,2,-3.3,0.05
16019,123,5,143.2,0.05
16020,13,1,-3.3,0.05
16021,400,45,1184.9,0.05
16022,218,28,661.7,0.05
16023,27,2,16.8,0.05
16024,13,0,-33.8,0.05
16025,400,47,1132.9,0.05
16026,14,0,-37.4,0.05
16027,300,41,950.0,0.05
16028,20,0,-22.0,0.05
16029,49,2,33.1,0.05
16030,78,7,151.7,0.05
16031,269,26,733.6,0.05
16032,206,23,528.4,0.05
16033,29,0,-2.9,0.05
16034,400,21,511.9,0.05
16035,126,12,278.9,0.05
16036,400,44,1142.9,0.05
16037,400,49,1172.9,0.05
16038,400,44,1042.9,0.05
