round,steps,score,reward,epsilon
1740,35,2,30.0,0.1754
1741,58,7,128.7,0.1752
1742,13,0,-36.8,0.175
1743,202,18,404.8,0.1748
1744,23,2,1.2,0.1747
1745,119,13,303.6,0.1745
1746,121,10,252.9,0.1743
1747,45,3,33.5,0.1741
1748,263,30,705.7,0.174
1749,49,4,52.6,0.1738
1750,13,0,-18.8,0.1736
1751,50,3,46.0,0.1734
1752,6,0,-39.6,0.1733
1753,55,3,64.5,0.1731
1754,58,6,121.7,0.1729
1755,15,1,-4.5,0.1728
1756,21,2,12.9,0.1726
1757,34,3,52.6,0.1724
1758,15,1,-19.5,0.1722
1759,13,0,-28.3,0.1721
1760,63,7,130.2,0.1719
1761,20,1,-7.0,0.1717
1762,74,8,166.1,0.1715
1763,23,1,11.7,0.1714
1764,55,4,104.0,0.1712
1765,6,0,-42.6,0.171
1766,34,2,31.1,0.1709
1767,98,9,182.2,0.1707
1768,106,12,293.9,0.1705
1769,268,21,442.2,0.1704
1770,77,6,131.8,0.1702
1771,22,1,-21.2,0.17
1772,51,3,70.9,0.1698
1773,159,14,339.1,0.1697
1774,37,2,8.8,0.1695
1775,250,27,682.0,0.1693
1776,68,5,85.2,0.1692
1777,20,0,-20.0,0.169
1778,27,1,0.3,0.1688
1779,6,0,-37.6,0.1687
1780,13,0,-34.8,0.1685
1781,66,4,84.4,0.1683
1782,107,10,199.3,0.1682
1783,6,0,-37.1,0.168
1784,273,27,598.2,0.1678
1785,58,4,103.2,0.1676
1786,28,0,-22.8,0.1675
1787,110,5,130.0,0.1673
1788,55,7,125.5,0.1671
1789,36,2,16.9,0.167
1790,27,2,12.8,0.1668
1791,52,5,96.3,0.1666
1792,53,7,136.7,0.1665
1793,13,0,-29.8,0.1663
1794,274,30,700.6,0.1661
1795,247,31,769.3,0.166
1796,13,0,-24.3,0.1658
1797,400,48,1148.4,0.1656
1798,34,3,22.1,0.1655
1799,35,1,8.0,0.1653
1800,6,0,-37.6,0.1652
1801,14,1,-16.4,0.165
1802,6,0,-39.6,0.1648
1803,400,41,1029.4,0.1647
1804,13,0,-30.3,0.1645
1805,20,0,-26.0,0.1643
1806,124,6,151.6,0.1642
1807,74,3,84.6,0.164
1808,20,1,-1.0,0.1638
1809,52,3,46.8,0.1637
1810,236,24,560.4,0.1635
1811,6,0,-37.6,0.1633
1812,24,1,-4.9,0.1632
1813,74,4,81.6,0.163
1814,303,33,825.2,0.1629
1815,37,1,15.3,0.1627
1816,75,10,204.5,0.1625
1817,20,0,-25.5,0.1624
1818,173,20,488.2,0.1622
1819,63,4,88.7,0.162
1820,49,3,77.1,0.1619
1821,193,14,416.2,0.1617
1822,13,0,-34.8,0.1616
1823,236,24,563.4,0.1614
1824,11,0,-48.1,0.1612
1825,354,36,816.1,0.1611
1826,15,0,-28.5,0.1609
1827,27,2,6.8,0.1607
1828,6,0,-40.6,0.1606
1829,13,1,-18.8,0.1604
1830,20,2,22.5,0.1603
1831,13,1,-4.8,0.1601
1832,144,9,249.6,0.1599
1833,48,4,74.7,0.1598
1834,127,8,170.8,0.1596
1835,23,2,6.7,0.1595
1836,30,2,23.5,0.1593
1837,400,45,1098.9,0.1591
1838,36,2,34.4,0.159
1839,24,2,-4.9,0.1588
1840,13,0,-33.3,0.1587
1841,104,9,218.6,0.1585
1842,20,1,7.5,0.1584
1843,114,11,246.6,0.1582
1844,394,37,892.1,0.158
1845,252,30,761.3,0.1579
1846,162,12,283.3,0.1577
1847,20,1,-6.5,0.1576
1848,36,1,20.9,0.1574
1849,19,0,-14.9,0.1572
1850,35,4,54.0,0.1571
1851,55,4,66.0,0.1569
1852,289,36,844.1,0.1568
1853,154,13,329.6,0.1566
1854,26,1,-20.1,0.1565
1855,313,36,856.2,0.1563
1856,305,30,729.5,0.1562
1857,55,1,8.5,0.156
1858,5,0,-44.0,0.1558
1859,27,3,35.3,0.1557
1860,47,1,18.3,0.1555
1861,26,1,13.4,0.1554
1862,36,4,58.4,0.1552
1863,13,0,-28.3,0.1551
1864,251,32,740.4,0.1549
1865,6,0,-42.6,0.1548
1866,212,18,394.8,0.1546
1867,40,2,30.0,0.1544
1868,127,11,294.8,0.1543
1869,7,0,-41.7,0.1541
1870,6,0,-41.6,0.154
1871,20,1,0.5,0.1538
1872,159,15,370.1,0.1537
1873,129,12,298.6,0.1535
1874,236,27,576.4,0.1534
1875,6,0,-42.1,0.1532
1876,45,3,45.0,0.1531
1877,400,43,1063.4,0.1529
1878,62,5,45.3,0.1528
1879,216,18,443.4,0.1526
1880,20,0,-27.0,0.1524
1881,52,3,41.3,0.1523
1882,400,26,733.4,0.1521
1883,50,4,89.5,0.152
1884,108,10,216.2,0.1518
1885,56,1,38.4,0.1517
1886,119,11,265.1,0.1515
1887,22,0,-11.2,0.1514
1888,13,0,-37.3,0.1512
1889,20,0,-10.5,0.1511
1890,14,0,-17.9,0.1509
1891,178,14,295.7,0.1508
1892,78,7,162.7,0.1506
1893,61,4,71.4,0.1505
1894,28,0,-25.3,0.1503
1895,37,3,48.8,0.1502
1896,13,0,-31.3,0.15
1897,51,3,47.4,0.1499
1898,20,1,-14.5,0.1497
1899,400,40,959.4,0.1496
1900,149,14,335.6,0.1494
1901,20,0,-24.5,0.1493
1902,27,1,-0.7,0.1491
1903,237,29,665.3,0.149
1904,13,0,-33.3,0.1488
1905,265,32,727.5,0.1487
1906,20,0,-14.5,0.1485
1907,400,39,948.4,0.1484
1908,135,13,338.5,0.1482
1909,226,29,620.9,0.1481
1910,124,9,245.6,0.1479
1911,44,4,88.1,0.1478
1912,158,16,389.2,0.1476
1913,21,0,-29.1,0.1475
1914,375,36,828.5,0.1473
1915,72,8,190.8,0.1472
1916,15,0,-29.0,0.1471
1917,20,1,-4.0,0.1469
1918,22,0,-6.7,0.1468
1919,275,12,275.5,0.1466
1920,276,28,650.4,0.1465
1921,78,6,120.7,0.1463
1922,102,6,130.3,0.1462
1923,40,4,55.0,0.146
1924,13,0,-38.8,0.1459
1925,20,0,-17.0,0.1457
1926,31,0,-10.6,0.1456
1927,225,16,383.5,0.1454
1928,20,1,10.0,0.1453
1929,27,2,20.3,0.1452
