round,steps,score,reward,epsilon
1,16,0,-24.1,0.9999
2,11,0,-46.6,0.9998
3,7,0,-44.2,0.9997
4,33,0,-45.3,0.9996
5,6,0,-42.6,0.9995
6,25,0,-52.0,0.9994
7,16,0,-52.6,0.9993
8,15,0,-41.0,0.9992
9,13,0,-40.8,0.9991
10,16,0,-40.6,0.999
11,32,0,-23.7,0.9989
12,24,0,-48.4,0.9988
13,37,1,-0.2,0.9987
14,10,0,-49.0,0.9986
15,5,0,-43.5,0.9985
16,7,0,-44.2,0.9984
17,17,0,-35.7,0.9983
18,18,0,-31.3,0.9982
19,13,0,-43.3,0.9981
20,11,0,-39.6,0.998
21,48,2,-26.3,0.9979
22,16,0,-46.1,0.9978
23,8,0,-34.8,0.9977
24,35,0,-32.5,0.9976
25,9,0,-44.4,0.9975
26,14,0,-43.9,0.9974
27,10,0,-43.5,0.9973
28,7,0,-37.7,0.9972
29,15,0,-46.5,0.9971
30,8,0,-44.8,0.997
31,22,0,-45.7,0.9969
32,7,0,-45.7,0.9968
33,35,0,-56.0,0.9967
34,10,0,-49.5,0.9966
35,39,0,-26.4,0.9965
36,12,0,-48.2,0.9964
37,17,0,-41.7,0.9963
38,69,0,-51.9,0.9962
39,8,0,-50.3,0.9961
40,25,0,-48.0,0.996
41,15,0,-36.0,0.9959
42,22,0,-42.7,0.9958
43,8,0,-44.8,0.9957
44,24,1,-15.9,0.9956
45,41,1,-25.6,0.9955
46,11,0,-42.6,0.9954
47,32,0,-51.2,0.9953
48,20,0,-43.5,0.9952
49,21,0,-38.1,0.9951
50,7,0,-47.2,0.995
51,9,0,-49.4,0.9949
52,7,0,-42.7,0.9948
53,37,0,-31.2,0.9947
54,7,0,-44.2,0.9946
55,15,0,-20.0,0.9945
56,15,0,-49.0,0.9944
57,8,0,-49.3,0.9943
58,21,0,-59.1,0.9942
59,5,0,-49.5,0.9941
60,19,0,-27.9,0.994
61,14,0,-33.9,0.9939
62,26,0,-36.1,0.9938
63,5,0,-49.5,0.9937
64,27,0,-39.7,0.9936
65,9,0,-42.4,0.9935
66,18,0,-41.3,0.9934
67,6,0,-43.1,0.9933
68,22,0,-33.7,0.9932
69,6,0,-43.1,0.9931
70,42,0,-29.7,0.993
71,8,0,-44.8,0.9929
72,27,0,-54.7,0.9928
73,15,0,-42.0,0.9927
74,30,0,-37.5,0.9926
75,8,0,-44.8,0.9925
76,16,0,-41.1,0.9924
77,20,0,-36.0,0.9923
78,17,0,-32.2,0.9922
79,54,0,-56.4,0.9921
80,17,0,-49.7,0.992
81,29,1,-38.9,0.9919
82,24,0,-17.4,0.9918
83,6,0,-43.6,0.9917
84,48,0,-56.3,0.9916
85,43,0,-48.3,0.9915
86,12,0,-52.7,0.9914
87,31,0,-12.6,0.9913
88,26,0,-47.6,0.9912
89,33,0,-43.3,0.9911
90,87,0,-45.2,0.991
91,25,0,-41.0,0.9909
92,9,0,-47.9,0.9908
93,9,0,-47.4,0.9907
94,5,0,-56.5,0.9906
95,17,0,-44.2,0.9905
96,20,0,-35.0,0.9904
97,22,0,-53.2,0.9903
98,8,0,-45.8,0.9902
99,38,0,-56.3,0.9901
100,16,0,-37.1,0.99
101,7,0,-47.2,0.99
102,13,0,-47.8,0.9899
103,22,0,-29.2,0.9898
104,30,0,-49.0,0.9897
105,16,0,-49.6,0.9896
106,5,0,-46.5,0.9895
107,29,0,-25.9,0.9894
108,15,0,-61.0,0.9893
109,26,0,-44.6,0.9892
110,15,0,-49.5,0.9891
111,6,0,-46.6,0.989
112,16,0,-43.6,0.9889
113,26,0,-46.1,0.9888
114,27,0,-40.2,0.9887
115,7,0,-43.7,0.9886
116,29,0,-26.4,0.9885
117,8,0,-45.3,0.9884
118,16,0,-38.1,0.9883
119,29,0,-45.9,0.9882
120,20,0,-39.5,0.9881
121,32,0,-28.2,0.988
122,20,0,-34.5,0.9879
123,8,0,-47.8,0.9878
124,8,0,-44.8,0.9877
125,34,0,-30.9,0.9876
126,33,0,-31.8,0.9875
127,9,0,-47.9,0.9874
128,31,1,-20.1,0.9873
129,17,0,-49.7,0.9872
130,13,0,-41.3,0.9871
131,55,0,-27.5,0.987
132,7,0,-46.7,0.9869
133,19,0,-47.4,0.9868
134,6,0,-42.6,0.9867
135,69,1,-14.4,0.9866
136,18,0,-33.3,0.9865
137,13,0,-34.3,0.9864
138,26,0,-38.6,0.9863
139,19,0,-38.4,0.9862
140,20,0,-36.0,0.9861
141,16,0,-40.6,0.986
142,30,0,-47.5,0.9859
143,9,0,-41.4,0.9858
144,16,0,-41.6,0.9857
145,38,1,-12.3,0.9856
146,67,0,-20.7,0.9855
147,15,0,-43.5,0.9854
148,6,0,-46.1,0.9853
149,15,0,-29.5,0.9852
150,10,0,-42.0,0.9851
151,20,0,-36.0,0.985
152,22,0,-44.2,0.9849
153,22,1,5.3,0.9848
154,9,0,-47.9,0.9847
155,16,0,-42.1,0.9846
156,21,0,-14.6,0.9845
157,22,0,-30.7,0.9844
158,31,0,-53.1,0.9843
159,37,0,-1.2,0.9842
160,15,0,-54.0,0.9841
161,30,0,-44.5,0.984
162,13,0,-37.3,0.9839
163,19,0,-40.9,0.9838
164,14,0,-45.4,0.9837
165,20,0,-36.0,0.9836
166,34,0,-38.4,0.9835
167,61,0,-40.1,0.9834
168,8,0,-44.3,0.9833
169,11,0,-51.1,0.9832
170,41,0,-32.1,0.9831
171,26,0,-31.1,0.983
172,21,0,-40.1,0.9829
173,18,0,-35.3,0.9828
174,8,0,-37.3,0.9827
175,39,0,-40.9,0.9827
176,5,0,-50.0,0.9826
177,8,0,-47.8,0.9825
178,31,0,-49.6,0.9824
179,63,0,-30.3,0.9823
180,7,0,-39.2,0.9822
181,6,0,-44.6,0.9821
182,9,0,-45.9,0.982
183,20,0,-55.5,0.9819
184,22,0,-27.7,0.9818
185,6,0,-42.6,0.9817
186,12,0,-49.2,0.9816
187,7,0,-45.2,0.9815
188,14,0,-50.9,0.9814
189,9,0,-44.9,0.9813
190,11,0,-45.6,0.9812
191,8,0,-46.8,0.9811
192,15,0,-43.5,0.981
193,20,0,-35.5,0.9809
194,24,0,-36.9,0.9808
195,15,0,-37.0,0.9807
196,24,1,-32.4,0.9806
197,35,0,-61.0,0.9805
198,24,0,-54.4,0.9804
199,7,0,-44.2,0.9803
200,10,0,-45.5,0.9802
201,6,0,-49.6,0.9801
202,13,0,-37.8,0.98
203,13,0,-39.3,0.9799
204,7,0,-43.7,0.9798
205,19,0,-37.9,0.9797
206,13,0,-46.3,0.9796
207,29,0,-42.9,0.9795
208,31,0,-39.1,0.9794
209,8,0,-44.8,0.9793
210,24,0,-22.9,0.9792
211,41,0,-35.1,0.9791
212,15,0,-39.0,0.979
213,16,0,-44.6,0.9789
214,24,0,-41.4,0.9788
215,13,0,-43.3,0.9787
216,16,0,-39.6,0.9786
217,6,0,-49.1,0.9785
218,6,0,-47.6,0.9784
219,14,0,-38.4,0.9783
220,33,1,-7.3,0.9782
221,12,0,-43.2,0.9781
222,8,0,-44.8,0.978
223,15,0,-42.5,0.9779
224,22,0,-42.2,0.9778
225,16,0,-35.6,0.9778
226,59,1,-29.4,0.9777
227,15,0,-45.0,0.9776
228,19,1,-22.4,0.9775
229,30,0,-32.5,0.9774
230,9,0,-44.9,0.9773
231,41,0,-30.1,0.9772
232,8,0,-43.8,0.9771
233,9,0,-48.4,0.977
234,26,1,-15.6,0.9769
235,24,0,-24.9,0.9768
236,20,1,-20.0,0.9767
237,18,0,-41.3,0.9766
238,26,0,-33.6,0.9765
239,15,0,-41.0,0.9764
240,11,0,-47.1,0.9763
241,6,0,-43.6,0.9762
242,6,0,-42.6,0.9761
243,18,0,-57.8,0.976
244,18,0,-42.8,0.9759
245,24,0,-46.4,0.9758
246,8,0,-38.3,0.9757
247,55,1,-28.5,0.9756
248,20,0,-48.5,0.9755
249,35,0,-43.0,0.9754
250,25,0,-39.0,0.9753
251,28,0,-56.3,0.9752
252,6,0,-43.1,0.9751
253,15,0,-43.0,0.975
254,22,0,-36.7,0.9749
255,19,0,-37.4,0.9748
256,22,0,-42.7,0.9747
257,10,0,-47.0,0.9746
258,7,0,-49.7,0.9745
259,22,0,-48.2,0.9744
260,7,0,-37.2,0.9743
261,53,0,-44.8,0.9742
262,31,0,-24.6,0.9741
263,15,0,-46.5,0.974
264,14,0,-33.9,0.9739
265,41,0,-16.6,0.9738
266,14,0,-33.4,0.9737
267,27,0,-38.2,0.9737
268,18,0,-52.3,0.9736
269,9,0,-35.9,0.9735
270,6,0,-44.1,0.9734
271,6,0,-40.6,0.9733
272,7,0,-49.7,0.9732
273,36,0,-46.1,0.9731
274,22,0,-22.7,0.973
275,45,0,-38.5,0.9729
276,14,0,-50.9,0.9728
277,16,0,-45.6,0.9727
278,10,0,-51.5,0.9726
279,57,0,-48.2,0.9725
280,23,1,-14.8,0.9724
281,28,1,-16.3,0.9723
282,23,0,-32.3,0.9722
283,29,0,-23.4,0.9721
284,6,0,-43.6,0.972
285,15,0,-41.0,0.9719
286,16,0,-53.1,0.9718
287,7,0,-47.7,0.9717
288,10,0,-34.0,0.9716
289,26,0,-23.1,0.9715
290,47,0,0.8,0.9714
291,9,0,-40.9,0.9713
292,11,0,-48.6,0.9712
293,23,0,-39.3,0.9711
294,7,0,-50.2,0.971
295,6,0,-43.6,0.9709
296,20,0,-44.5,0.9708
297,8,0,-43.8,0.9707
298,32,0,-43.7,0.9706
299,46,0,-25.1,0.9705
300,6,0,-45.6,0.9704
301,58,0,-23.3,0.9703
302,45,1,-26.0,0.9702
303,8,0,-38.3,0.9702
304,9,0,-44.9,0.9701
305,22,0,-40.7,0.97
306,13,0,-39.3,0.9699
307,15,0,-28.0,0.9698
308,21,0,-40.1,0.9697
309,15,0,-37.0,0.9696
310,41,0,-31.1,0.9695
311,6,0,-42.6,0.9694
312,21,0,-44.1,0.9693
313,70,0,-36.0,0.9692
314,16,0,-37.1,0.9691
315,11,0,-50.1,0.969
316,25,0,-38.0,0.9689
317,15,0,-45.5,0.9688
318,37,0,-49.7,0.9687
