1970,400,0,-108.0,0.1393
1971,400,0,-93.0,0.1392
1972,400,0,-147.0,0.139
1973,400,0,-108.0,0.1389
1974,400,0,-114.0,0.1388
1975,400,0,-132.0,0.1386
1976,400,0,-99.0,0.1385
1977,400,0,-120.0,0.1383
1978,400,0,-150.0,0.1382
1979,400,0,-141.0,0.1381
1980,400,0,-69.0,0.1379
1981,400,0,-129.0,0.1378
1982,400,0,-75.0,0.1377
1983,400,0,-102.0,0.1375
1984,400,0,-78.0,0.1374
1985,400,0,-108.0,0.1372
1986,400,0,-111.0,0.1371
1987,400,0,-93.0,0.137
1988,400,0,-111.0,0.1368
1989,400,0,-150.0,0.1367
1990,400,0,-105.0,0.1366
1991,400,0,-93.0,0.1364
1992,400,0,-126.0,0.1363
1993,400,0,-81.0,0.1362
1994,400,0,-75.0,0.136
1995,400,0,-81.0,0.1359
1996,400,0,-90.0,0.1357
1997,400,0,-87.0,0.1356
1998,400,0,-84.0,0.1355
1999,400,0,-93.0,0.1353
2000,400,0,-117.0,0.1352
2001,400,0,-78.0,0.1351
2002,400,0,-78.0,0.1349
2003,400,0,-102.0,0.1348
2004,400,0,-108.0,0.1347
2005,400,0,-114.0,0.1345
2006,400,0,-57.0,0.1344
2007,400,0,-108.0,0.1343
2008,400,0,-117.0,0.1341
2009,400,0,-102.0,0.134
2010,400,0,-114.0,0.1339
2011,400,0,-123.0,0.1337
2012,400,0,-60.0,0.1336
2013,400,0,-108.0,0.1335
2014,400,0,-63.0,0.1333
2015,400,0,-75.0,0.1332
2016,400,0,-102.0,0.1331
2017,400,0,-72.0,0.1329
2018,400,0,-102.0,0.1328
2019,400,0,-135.0,0.1327
2020,400,0,-114.0,0.1325
2021,400,0,-114.0,0.1324
2022,400,0,-90.0,0.1323
2023,400,0,-90.0,0.1321
2024,400,0,-90.0,0.132
2025,400,0,-84.0,0.1319
2026,400,0,-90.0,0.1317
2027,400,0,-90.0,0.1316
2028,400,0,-69.0,0.1315
2029,400,0,-93.0,0.1313
2030,400,0,-78.0,0.1312
2031,400,0,-81.0,0.1311
2032,400,0,-90.0,0.1309
2033,400,0,-93.0,0.1308
2034,400,0,-105.0,0.1307
2035,400,0,-81.0,0.1305
2036,400,0,-81.0,0.1304
2037,400,0,-105.0,0.1303
2038,400,0,-54.0,0.1302
2039,400,0,-102.0,0.13
2040,400,0,-114.0,0.1299
2041,400,0,-81.0,0.1298
2042,400,0,-129.0,0.1296
2043,400,0,-102.0,0.1295
2044,400,0,-108.0,0.1294
2045,400,0,-57.0,0.1292
2046,400,0,-75.0,0.1291
2047,400,0,-90.0,0.129
2048,400,0,-138.0,0.1289
2049,400,0,-93.0,0.1287
2050,400,0,-84.0,0.1286
2051,400,0,-75.0,0.1285
2052,400,0,-111.0,0.1283
2053,400,0,-69.0,0.1282
2054,400,0,-99.0,0.1281
2055,400,0,-135.0,0.128
2056,400,0,-81.0,0.1278
2057,400,0,-90.0,0.1277
2058,400,0,-90.0,0.1276
2059,400,0,-108.0,0.1275
2060,400,0,-105.0,0.1273
2061,400,0,-69.0,0.1272
2062,400,0,-78.0,0.1271
2063,400,0,-96.0,0.1269
2064,400,0,-90.0,0.1268
2065,400,0,-75.0,0.1267
2066,400,0,-84.0,0.1266
2067,400,0,-93.0,0.1264
2068,400,0,-90.0,0.1263
2069,400,0,-69.0,0.1262
2070,400,0,-81.0,0.1261
2071,400,0,-123.0,0.1259
2072,400,0,-78.0,0.1258
2073,400,0,-96.0,0.1257
2074,400,0,-99.0,0.1256
2075,400,0,-90.0,0.1254
2076,400,0,-132.0,0.1253
2077,400,0,-87.0,0.1252
2078,400,0,-84.0,0.1251
2079,400,0,-63.0,0.1249
2080,400,0,-108.0,0.1248
2081,400,0,-105.0,0.1247
2082,400,0,-99.0,0.1246
2083,400,0,-75.0,0.1244
2084,400,0,-93.0,0.1243
2085,400,0,-99.0,0.1242
2086,400,0,-99.0,0.1241
2087,400,0,-84.0,0.1239
2088,400,0,-69.0,0.1238
2089,400,0,-84.0,0.1237
2090,400,0,-99.0,0.1236
2091,400,0,-93.0,0.1234
2092,400,0,-93.0,0.1233
2093,400,0,-84.0,0.1232
2094,400,0,-126.0,0.1231
2095,400,0,-78.0,0.1229
2096,400,0,-105.0,0.1228
2097,400,0,-120.0,0.1227
2098,400,0,-102.0,0.1226
2099,400,0,-102.0,0.1225
2100,400,0,-96.0,0.1223
2101,400,0,-87.0,0.1222
2102,400,0,-75.0,0.1221
2103,400,0,-63.0,0.122
2104,400,0,-120.0,0.1218
2105,400,0,-111.0,0.1217
2106,400,0,-33.0,0.1216
2107,400,0,-75.0,0.1215
2108,400,0,-96.0,0.1214
2109,400,0,-57.0,0.1212
2110,400,0,-108.0,0.1211
2111,400,0,-90.0,0.121
2112,400,0,-84.0,0.1209
